Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0002-ORFBO,Female,37,Yes,0,Frazier Park,93225,35,-119,2,9,None,Yes,42,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,66,593,0,0,382,975,Stayed,Not churned,unknown
0003-MKNFE,Male,46,No,0,Glendale,91206,34,-118,0,9,None,Yes,11,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4,542,38,10,96,610,Stayed,Not churned,unknown
0004-TLHLJ,Male,50,No,0,Costa Mesa,92627,34,-118,0,4,Offer E,Yes,34,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74,281,0,0,135,415,Churned,Competitor,Competitor had better devices
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38,-122,1,13,Offer D,Yes,28,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98,1238,0,0,362,1600,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34,-119,3,3,None,Yes,7,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,84,267,0,0,22,290,Churned,Dissatisfaction,Network reliability
0013-MHZWF,Female,23,No,3,Midpines,95345,38,-120,0,9,Offer E,Yes,17,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69,571,0,0,151,722,Stayed,Not churned,unknown
0013-SMEOE,Female,67,Yes,0,Lompoc,93437,35,-121,1,71,Offer A,Yes,10,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110,7904,0,0,707,8611,Stayed,Not churned,unknown
0014-BMAQU,Male,52,Yes,0,Napa,94558,38,-122,8,63,Offer B,Yes,13,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,85,5378,0,20,816,6214,Stayed,Not churned,unknown
0015-UOCOJ,Female,68,No,0,Simi Valley,93063,34,-119,0,7,Offer E,Yes,11,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48,340,0,0,74,414,Stayed,Not churned,unknown
0016-QLJIS,Female,43,Yes,1,Sheridan,95681,39,-121,3,65,None,Yes,28,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90,5958,0,0,1850,7808,Stayed,Not churned,unknown
0017-DINOC,Male,47,No,0,Rancho Santa Fe,92091,33,-117,0,54,None,No,0,No internet service,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45,2461,0,0,0,2461,Stayed,Not churned,unknown
0017-IUDMW,Female,25,Yes,2,Sunnyvale,94086,37,-122,2,72,None,Yes,16,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,117,8457,0,0,1153,9609,Stayed,Not churned,unknown
0018-NYROU,Female,58,Yes,0,Antelope,95843,39,-121,0,5,None,Yes,19,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69,352,0,0,93,445,Stayed,Not churned,unknown
0019-EFAEP,Female,32,No,0,La Mesa,91942,33,-117,0,72,Offer A,Yes,2,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101,7261,0,0,162,7423,Stayed,Not churned,unknown
0019-GFNTW,Female,39,No,0,Los Olivos,93441,35,-120,0,56,None,No,0,No internet service,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45,2560,0,0,0,2560,Stayed,Not churned,unknown
0020-INWCK,Female,58,Yes,2,Woodlake,93286,36,-119,9,71,Offer A,Yes,27,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,96,6849,0,0,1935,8785,Stayed,Not churned,unknown
0020-JDNXP,Female,52,Yes,1,Point Reyes Station,94956,38,-123,0,34,None,No,0,No internet service,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61,1993,0,0,0,1993,Stayed,Not churned,unknown
0021-IKXGC,Female,72,No,0,San Marcos,92078,33,-117,0,1,Offer E,Yes,8,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72,72,0,0,8,80,Joined,Not churned,unknown
0022-TCJCI,Male,79,No,0,Daly City,94015,38,-122,0,45,None,Yes,11,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,63,2792,0,0,480,3272,Churned,Dissatisfaction,Limited range of services
